model,reasoning_type,complexity,mean,ci_lower,ci_upper,ci_width,n_samples
SmolLM3_3B,conflicting,1,0.5,0.3333333333333333,0.6674999999999992,0.3341666666666659,30
SmolLM3_3B,conflicting,2,0.36666666666666664,0.2,0.5666666666666667,0.36666666666666664,30
SmolLM3_3B,conflicting,3,0.3,0.13333333333333333,0.4666666666666667,0.33333333333333337,30
SmolLM3_3B,conflicting,4,0.2,0.06666666666666667,0.3333333333333333,0.26666666666666666,30
SmolLM3_3B,hierarchical,1,0.875,0.6875,1.0,0.3125,16
SmolLM3_3B,hierarchical,2,0.55,0.38291666666666707,0.7166666666666667,0.3337499999999996,30
SmolLM3_3B,hierarchical,3,0.62,0.4533333333333333,0.7733333333333334,0.3200000000000001,30
SmolLM3_3B,hierarchical,4,0.5666666666666667,0.4,0.7333333333333333,0.33333333333333326,30
SmolLM3_3B,multihop,1,0.5,0.25,0.75,0.5,16
SmolLM3_3B,multihop,2,0.2833333333333333,0.13333333333333333,0.43333333333333335,0.30000000000000004,30
SmolLM3_3B,multihop,3,0.13333333333333333,0.03333333333333333,0.3,0.26666666666666666,30
SmolLM3_3B,multihop,4,0.0,0.0,0.0,0.0,30
SmolLM3_3B,temporal,1,0.35714285714285715,0.17857142857142858,0.5357142857142857,0.3571428571428571,28
SmolLM3_3B,temporal,2,0.4304761904761905,0.2571428571428572,0.600095238095238,0.34295238095238084,30
SmolLM3_3B,temporal,3,0.3377777777777778,0.18333333333333332,0.48777777777777775,0.3044444444444444,30
SmolLM3_3B,temporal,4,0.4990476190476191,0.32554761904761914,0.6667619047619047,0.3412142857142855,30
SmolLM3_3B,weighted,1,0.625,0.375,0.875,0.5,16
SmolLM3_3B,weighted,2,0.3244444444444445,0.17994444444444452,0.49116666666666664,0.3112222222222221,30
SmolLM3_3B,weighted,3,0.21944444444444444,0.1,0.3668055555555554,0.2668055555555554,30
SmolLM3_3B,weighted,4,0.23333333333333334,0.1,0.4,0.30000000000000004,30
claude_3_5_haiku_20241022,conflicting,1,0.7333333333333333,0.5666666666666667,0.8674999999999993,0.3008333333333326,30
