model,reasoning_type,slope,intercept,r_squared,p_value
claude-sonnet-4-5-20250929,multihop,-0.03666666666666666,1.0166666666666666,0.6914285714285714,0.16847815937970018
claude-sonnet-4-5-20250929,hierarchical,-0.0033333333333333327,1.0,0.06666666666666665,0.741801110252839
claude-sonnet-4-5-20250929,temporal,0.05000000000000001,0.6944444444444444,0.6994818652849738,0.1636496755037553
claude-sonnet-4-5-20250929,weighted,-0.09333333333333331,1.0333333333333332,0.7839999999999998,0.11456225515285393
claude-sonnet-4-5-20250929,conflicting,-0.02666666666666666,0.9666666666666667,0.5333333333333332,0.26970325665977857
claude-sonnet-4-20250514,multihop,-0.06333333333333332,1.0666666666666669,0.9626666666666667,0.018844218960787695
claude-sonnet-4-20250514,hierarchical,-0.03333333333333334,0.9833333333333334,0.09999999999999996,0.6837722339831622
claude-sonnet-4-20250514,temporal,0.021111111111111115,0.7851851851851852,0.24364454443194625,0.5063963691057912
claude-sonnet-4-20250514,weighted,-0.10666666666666669,1.0333333333333332,0.7529411764705882,0.13227816872537534
claude-sonnet-4-20250514,conflicting,-0.0033333333333333327,0.9666666666666667,0.06666666666666665,0.741801110252839
claude-3-7-sonnet-20250219,multihop,-0.23666666666666666,1.35,0.8111021721641191,0.09938789028565741
claude-3-7-sonnet-20250219,hierarchical,-0.059999999999999984,1.0333333333333334,0.7714285714285715,0.12168993434632014
claude-3-7-sonnet-20250219,temporal,0.057777777777777775,0.701851851851852,0.8128256513026051,0.09843156038900457
claude-3-7-sonnet-20250219,weighted,-0.08333333333333336,0.9666666666666667,0.806451612903226,0.10197348986612544
claude-3-7-sonnet-20250219,conflicting,-0.006666666666666698,0.8333333333333334,0.04000000000000031,0.7999999999999992
claude-3-5-haiku-20241022,multihop,-0.24,1.2333333333333334,0.9391304347826087,0.03091257629530209
claude-3-5-haiku-20241022,hierarchical,0.005833333333333324,0.8583333333333335,0.005584045584045566,0.9252735282242928
claude-3-5-haiku-20241022,temporal,0.04222222222222223,0.6037037037037036,0.6427299703264097,0.19829558419177346
claude-3-5-haiku-20241022,weighted,-0.10071428571428571,0.8357142857142857,0.45545812068065816,0.32512362563158415
claude-3-5-haiku-20241022,conflicting,-0.07666666666666669,0.9000000000000001,0.46607929515418517,0.3172999962251464
gpt-5.2,multihop,-0.13666666666666666,1.1,0.9470422535211266,0.026839040281040335
gpt-5.2,hierarchical,0.006666666666666677,0.9111111111111111,0.06666666666666692,0.7418011102528383
gpt-5.2,temporal,0.056666666666666664,0.711111111111111,0.7706666666666666,0.12212377485965221
gpt-5.2,weighted,-0.05666666666666666,0.8333333333333333,0.15922865013774096,0.6009653522089329
gpt-5.2,conflicting,-0.04666666666666669,0.9333333333333333,0.29696969696969716,0.4550507390869338
gpt-5-mini,multihop,-0.07666666666666667,0.8555555555555554,0.776039119804401,0.11906917422285593
gpt-5-mini,hierarchical,0.0033333333333333327,0.9833333333333334,0.06666666666666668,0.7418011102528389
gpt-5-mini,temporal,0.045555555555555585,0.6814814814814815,0.2659108884787769,0.4843345188217686
gpt-5-mini,weighted,-0.15999999999999998,1.0333333333333332,0.8727272727272726,0.0658012670061725
gpt-5-mini,conflicting,-0.09666666666666669,1.05,0.8285714285714286,0.08974101016720049
gpt-5-nano,multihop,-0.06000000000000001,0.5055555555555555,0.44181818181818183,0.3353059487116033
gpt-5-nano,hierarchical,-0.005833333333333346,0.6361111111111111,0.007011686143572654,0.9162641884044069
gpt-5-nano,temporal,0.010000000000000009,0.6444444444444445,0.021686746987951828,0.8527357918978552
gpt-5-nano,weighted,-0.14666666666666667,0.9333333333333333,0.4745098039215686,0.31115327980633556
gpt-5-nano,conflicting,-0.1,0.55,0.9782608695652174,0.010929289906319473
gpt-4o,multihop,-0.20666666666666664,1.1666666666666665,0.9467980295566499,0.02696452810976625
gpt-4o,hierarchical,-0.019999999999999997,1.0,0.19999999999999998,0.552786404500042
gpt-4o,temporal,0.035555555555555576,0.6537037037037037,0.39283887468030704,0.3732314026051505
gpt-4o,weighted,-0.13333333333333333,0.9833333333333332,0.5369127516778524,0.26725669455268836
gpt-4o,conflicting,-0.09000000000000002,0.9666666666666668,0.8526315789473686,0.0766194831233612
gemini-3-flash-preview,multihop,-0.12333333333333334,1.15,0.6931645569620253,0.16743495331474229
gemini-3-flash-preview,hierarchical,0.0,1.0,,
gemini-3-flash-preview,temporal,0.011111111111111127,0.7851851851851852,0.05660377358490577,0.7620845242845565
gemini-3-flash-preview,weighted,-0.08333333333333334,1.0500000000000003,0.7309941520467835,0.14501803992903825
gemini-3-flash-preview,conflicting,-0.023333333333333327,0.9833333333333333,0.890909090909091,0.05612019255146104
gemini-3-pro-preview,multihop,-0.02666666666666666,0.9833333333333333,0.35555555555555546,0.4037152060000561
gemini-3-pro-preview,hierarchical,0.046666666666666655,0.8166666666666667,0.7000000000000002,0.1633399734659243
gemini-3-pro-preview,temporal,0.06000000000000001,0.6611111111111111,0.623076923076923,0.2106477826236738
gemini-3-pro-preview,weighted,-0.04999999999999999,1.0,0.4545454545454545,0.32580013753675796
gemini-3-pro-preview,conflicting,0.0033333333333333327,0.9833333333333334,0.06666666666666668,0.7418011102528389
gemini-2.5-flash,multihop,-0.16,1.15,0.9846153846153846,0.0077221232863323745
gemini-2.5-flash,hierarchical,0.038333333333333344,0.7666666666666666,0.38472727272727286,0.3797361265338172
gemini-2.5-flash,temporal,0.048888888888888905,0.6981481481481481,0.6800936768149888,0.17532207692033563
gemini-2.5-flash,weighted,-0.09666666666666669,0.9833333333333334,0.8625641025641028,0.07125670793049453
gemini-2.5-flash,conflicting,-0.03666666666666666,1.0333333333333334,0.41016949152542376,0.3595552392864598
gemini-2.0-flash,multihop,-0.22333333333333333,1.2000000000000002,0.9898566703417863,0.005084591363775148
gemini-2.0-flash,hierarchical,-0.0016666666666666496,0.8833333333333333,0.003389830508474512,0.9417777490260424
gemini-2.0-flash,temporal,0.06,0.6944444444444444,0.7838709677419355,0.11463512169166344
gemini-2.0-flash,weighted,-0.10666666666666666,0.9333333333333333,0.33684210526315783,0.4196189999119907
gemini-2.0-flash,conflicting,-0.10666666666666669,1.0166666666666666,0.5752808988764047,0.24152725897603633
SmolLM3-3B,multihop,-0.16333333333333333,0.6333333333333333,0.9780040733197555,0.011059115356354841
SmolLM3-3B,hierarchical,-0.11416666666666667,0.9194444444444444,0.6421508809944688,0.1986568269496091
SmolLM3-3B,temporal,0.024444444444444442,0.3296296296296296,0.30124481327800817,0.45114226499209453
SmolLM3-3B,weighted,-0.11142857142857143,0.5880952380952381,0.5307871267933308,0.2714486107395506
SmolLM3-3B,conflicting,-0.09666666666666665,0.5833333333333333,0.9836257309941518,0.00822092631768445
