model,reasoning_type,complexity,accuracy_mean,accuracy_stdev,score_mean,score_stdev,tokens_mean,tokens_stdev,time_mean,time_stdev,num_runs
claude-sonnet-4-5-20250929,multihop,1,1.0,0.0,1.0,0.0,6198.666666666667,5162.116458714713,0.0,0.0,3
claude-sonnet-4-5-20250929,multihop,2,0.9333333333333333,0.05773502691896256,0.9333333333333333,0.05773502691896256,25861.0,8271.548645809924,0.0,0.0,3
claude-sonnet-4-5-20250929,multihop,3,0.8666666666666667,0.05773502691896256,0.8666666666666667,0.05773502691896256,104372.0,15144.586260443037,0.0,0.0,3
claude-sonnet-4-5-20250929,multihop,4,0.9,0.0,0.9,0.0,297425.0,80771.70164729725,0.0,0.0,3
claude-sonnet-4-5-20250929,hierarchical,1,1.0,0.0,1.0,0.0,2790.3333333333335,1749.8532319407057,0.0,0.0,3
claude-sonnet-4-5-20250929,hierarchical,2,1.0,0.0,1.0,0.0,9257.666666666666,1227.2478695574637,0.0,0.0,3
claude-sonnet-4-5-20250929,hierarchical,3,0.9666666666666667,0.05773502691896256,0.9666666666666667,0.05773502691896256,11977.333333333334,533.181332506431,0.0,0.0,3
claude-sonnet-4-5-20250929,hierarchical,4,1.0,0.0,1.0,0.0,20727.333333333332,563.9258225452469,0.0,0.0,3
claude-sonnet-4-5-20250929,temporal,1,0.7777777777777778,0.3849001794597505,0.7777777777777778,0.3849001794597505,11304.333333333334,1508.3382688685365,0.0,0.0,3
claude-sonnet-4-5-20250929,temporal,2,0.7333333333333333,0.1527525231651947,0.7333333333333333,0.1527525231651947,12072.666666666666,2560.8409426072003,0.0,0.0,3
claude-sonnet-4-5-20250929,temporal,3,0.8666666666666667,0.11547005383792512,0.8666666666666667,0.11547005383792512,13130.666666666666,1469.8477245392917,0.0,0.0,3
claude-sonnet-4-5-20250929,temporal,4,0.9,0.09999999999999998,0.9,0.09999999999999998,12463.333333333334,812.1313522659578,0.0,0.0,3
claude-sonnet-4-5-20250929,weighted,1,1.0,0.0,1.0,0.0,6378.666666666667,1500.0587766262138,0.0,0.0,3
claude-sonnet-4-5-20250929,weighted,2,0.7666666666666667,0.05773502691896263,0.7833333333333333,0.07637626158259735,19471.333333333332,1441.8728561608104,0.0,0.0,3
claude-sonnet-4-5-20250929,weighted,3,0.7333333333333334,0.11547005383792519,0.7814814814814816,0.03207501495497923,43459.0,5918.32924058809,0.0,0.0,3
claude-sonnet-4-5-20250929,weighted,4,0.7000000000000001,0.17320508075688776,0.78,0.165227116418583,73863.0,18007.24198760043,0.0,0.0,3
claude-sonnet-4-5-20250929,conflicting,1,0.9333333333333333,0.11547005383792512,0.9333333333333333,0.11547005383792512,17041.0,661.1951300486113,0.0,0.0,3
claude-sonnet-4-5-20250929,conflicting,2,0.9,0.09999999999999998,0.9,0.09999999999999998,19436.666666666668,804.2837393192364,0.0,0.0,3
claude-sonnet-4-5-20250929,conflicting,3,0.9333333333333333,0.05773502691896256,0.9333333333333333,0.05773502691896256,30940.0,1382.2579354085835,0.0,0.0,3
claude-sonnet-4-5-20250929,conflicting,4,0.8333333333333334,0.1527525231651947,0.8333333333333334,0.1527525231651947,52060.333333333336,303.1737675547364,0.0,0.0,3
claude-sonnet-4-20250514,multihop,1,1.0,0.0,1.0,0.0,5987.0,5098.142406798775,0.0,0.0,3
claude-sonnet-4-20250514,multihop,2,0.9333333333333333,0.05773502691896256,0.9333333333333333,0.05773502691896256,25527.0,8708.649206392458,0.0,0.0,3
claude-sonnet-4-20250514,multihop,3,0.9,0.0,0.9166666666666666,0.02886751345948125,105283.0,14245.28079751326,0.0,0.0,3
claude-sonnet-4-20250514,multihop,4,0.8,0.10000000000000003,0.8166666666666667,0.10408329997330666,295467.3333333333,80620.41690126226,0.0,0.0,3
claude-sonnet-4-20250514,hierarchical,1,1.0,0.0,1.0,0.0,2613.6666666666665,1533.9381778068284,0.0,0.0,3
claude-sonnet-4-20250514,hierarchical,2,0.9333333333333333,0.05773502691896256,0.9333333333333333,0.05773502691896256,8738.666666666666,1225.2103220807983,0.0,0.0,3
claude-sonnet-4-20250514,hierarchical,3,0.7,0.2,0.7266666666666667,0.2052640575778754,11412.666666666666,553.0446033850554,0.0,0.0,3
claude-sonnet-4-20250514,hierarchical,4,0.9666666666666667,0.05773502691896256,0.9666666666666667,0.05773502691896256,19985.333333333332,488.34857769152285,0.0,0.0,3
claude-sonnet-4-20250514,temporal,1,0.8518518518518519,0.25660011963983365,0.8518518518518519,0.25660011963983365,10842.333333333334,1333.1805329111783,0.0,0.0,3
claude-sonnet-4-20250514,temporal,2,0.7666666666666667,0.23094010767585033,0.7666666666666667,0.23094010767585033,11198.333333333334,2029.759181118128,0.0,0.0,3
claude-sonnet-4-20250514,temporal,3,0.8333333333333334,0.05773502691896256,0.8333333333333334,0.05773502691896256,11942.666666666666,1130.4213078907055,0.0,0.0,3
claude-sonnet-4-20250514,temporal,4,0.9,0.09999999999999998,0.9,0.09999999999999998,11775.666666666666,719.7335154995446,0.0,0.0,3
claude-sonnet-4-20250514,weighted,1,1.0,0.0,1.0,0.0,6112.0,1159.50032341522,0.0,0.0,3
claude-sonnet-4-20250514,weighted,2,0.7333333333333334,0.11547005383792519,0.7333333333333334,0.11547005383792519,19282.666666666668,1376.260270927463,0.0,0.0,3
claude-sonnet-4-20250514,weighted,3,0.6666666666666666,0.05773502691896256,0.6916666666666667,0.08779711460710618,44198.0,6629.726087856119,0.0,0.0,3
claude-sonnet-4-20250514,weighted,4,0.6666666666666666,0.05773502691896256,0.7033333333333334,0.06027713773341708,73806.33333333333,18151.224348052485,0.0,0.0,3
claude-sonnet-4-20250514,conflicting,1,0.9666666666666667,0.05773502691896256,0.9666666666666667,0.05773502691896256,15976.666666666666,371.09881882503123,0.0,0.0,3
claude-sonnet-4-20250514,conflicting,2,0.9666666666666667,0.05773502691896256,0.9666666666666667,0.05773502691896256,18685.0,873.383649950009,0.0,0.0,3
claude-sonnet-4-20250514,conflicting,3,0.9333333333333333,0.05773502691896256,0.9333333333333333,0.05773502691896256,29081.333333333332,457.9326733629446,0.0,0.0,3
claude-sonnet-4-20250514,conflicting,4,0.9666666666666667,0.05773502691896256,0.9666666666666667,0.05773502691896256,51768.0,1343.763372026489,0.0,0.0,3
claude-3-7-sonnet-20250219,multihop,1,1.0,0.0,1.0,0.0,5327.333333333333,4412.435419735153,0.0,0.0,3
claude-3-7-sonnet-20250219,multihop,2,0.9666666666666667,0.05773502691896256,0.9666666666666667,0.05773502691896256,24157.666666666668,8652.505783490315,0.0,0.0,3
claude-3-7-sonnet-20250219,multihop,3,0.8,0.10000000000000003,0.8,0.10000000000000003,101080.33333333333,14668.790861326415,0.0,0.0,3
claude-3-7-sonnet-20250219,multihop,4,0.26666666666666666,0.15275252316519466,0.26666666666666666,0.15275252316519466,109164.0,97472.24450067824,0.0,0.0,3
claude-3-7-sonnet-20250219,hierarchical,1,1.0,0.0,1.0,0.0,2642.0,1550.118705131965,0.0,0.0,3
claude-3-7-sonnet-20250219,hierarchical,2,0.9,0.09999999999999998,0.9,0.09999999999999998,8451.333333333334,1130.1488102605485,0.0,0.0,3
claude-3-7-sonnet-20250219,hierarchical,3,0.8,0.10000000000000003,0.8,0.10000000000000003,10952.333333333334,271.14817597272037,0.0,0.0,3
claude-3-7-sonnet-20250219,hierarchical,4,0.8333333333333334,0.05773502691896256,0.8333333333333334,0.05773502691896256,19756.0,593.4854673873658,0.0,0.0,3
claude-3-7-sonnet-20250219,temporal,1,0.7851851851851852,0.22259228446395138,0.7851851851851852,0.22259228446395138,9380.333333333334,1017.6906864727284,0.0,0.0,3
claude-3-7-sonnet-20250219,temporal,2,0.8,0.2645751311064591,0.8,0.2645751311064591,10206.0,2085.1131863762216,0.0,0.0,3
claude-3-7-sonnet-20250219,temporal,3,0.8333333333333334,0.1527525231651947,0.8333333333333334,0.1527525231651947,10925.333333333334,637.3894675418894,0.0,0.0,3
claude-3-7-sonnet-20250219,temporal,4,0.9666666666666667,0.05773502691896256,0.9666666666666667,0.05773502691896256,11053.333333333334,723.0009220833216,0.0,0.0,3
claude-3-7-sonnet-20250219,weighted,1,0.9333333333333333,0.11547005383792512,0.9333333333333333,0.11547005383792512,5676.0,1210.511875199909,0.0,0.0,3
claude-3-7-sonnet-20250219,weighted,2,0.7333333333333334,0.11547005383792519,0.7666666666666667,0.05773502691896263,17411.666666666668,2241.9871394219313,0.0,0.0,3
claude-3-7-sonnet-20250219,weighted,3,0.7,0.2,0.7,0.2,39263.0,4589.71055732276,0.0,0.0,3
claude-3-7-sonnet-20250219,weighted,4,0.6666666666666666,0.1527525231651947,0.7300000000000001,0.12767145334803703,72024.33333333333,17868.60017833891,0.0,0.0,3
claude-3-7-sonnet-20250219,conflicting,1,0.8,0.10000000000000003,0.8,0.10000000000000003,14683.666666666666,358.36480481952094,0.0,0.0,3
claude-3-7-sonnet-20250219,conflicting,2,0.8333333333333334,0.1527525231651947,0.8333333333333334,0.1527525231651947,17546.0,532.6903415681572,0.0,0.0,3
