Rank,Model,Overall Accuracy,CI Lower,CI Upper,Avg Tokens
1,gemini-3-pro-preview,0.9055555555555556,,,51255.149999999994
2,claude-sonnet-4-5-20250929,0.8872222222222221,,,39511.51666666667
3,gemini-3-flash-preview,0.8842592592592592,,,35573.76666666666
4,claude-sonnet-4-20250514,0.8742592592592592,,,38984.183333333334
5,gemini-2.5-flash,0.8232407407407407,,,118115.93333333332
6,claude-3-7-sonnet-20250219,0.8125925925925926,,,28448.466666666667
7,gpt-5.2,0.8094444444444445,,,29510.68333333333
8,gpt-5-mini,0.7785185185185185,,,26383.26666666667
9,gemini-2.0-flash,0.756388888888889,,,38622.59999999999
10,gpt-4o,0.7468518518518519,,,31036.11666666667
11,claude-3-5-haiku-20241022,0.7015542328042329,,,32207.733333333337
12,gpt-5-nano,0.502638888888889,,,23488.65
13,SmolLM3-3B,0.380191798941799,,,12543.7
