,SmolLM3-3B,claude-3-5-haiku-20241022,claude-3-7-sonnet-20250219,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,gemini-2.0-flash,gemini-2.5-flash,gemini-3-flash-preview,gemini-3-pro-preview,gpt-4o,gpt-5-mini,gpt-5-nano,gpt-5.2
SmolLM3-3B,1.0,9.827009114664624e-06,8.4984619400851e-09,1.8139496219326927e-10,1.19419633969191e-10,6.581677691893044e-07,2.479434046705027e-09,1.1348065774764173e-10,6.792055590904133e-11,9.535171788331428e-07,1.0255881055342148e-07,0.06628599403525465,5.958805415660577e-09
claude-3-5-haiku-20241022,9.827009114664624e-06,1.0,0.056036791723308756,0.0017626890758329539,0.0007029010250593251,0.3787165138791052,0.027809190649366475,0.0011069500672981846,0.0002255094654438869,0.46359576119633583,0.19973191741893204,0.003207626145925908,0.0534598232803962
claude-3-7-sonnet-20250219,8.4984619400851e-09,0.056036791723308756,1.0,0.16982092904773416,0.08626071899566265,0.32559665577988506,0.8213999429553145,0.11619980912164339,0.031040094379544525,0.24782419873342987,0.5284984044204898,5.586438918921053e-06,0.9480657586149166
claude-sonnet-4-20250514,1.8139496219326927e-10,0.0017626890758329539,0.16982092904773416,1.0,0.7049263714324978,0.026536490613291795,0.20590914120022927,0.7874375176726727,0.34382562574880293,0.016222270802346242,0.051654469896527826,7.660254352966334e-08,0.12266794245390561
claude-sonnet-4-5-20250929,1.19419633969191e-10,0.0007029010250593251,0.08626071899566265,0.7049263714324978,1.0,0.012429975888446297,0.09764590346576857,0.9322771023093588,0.5464774050483711,0.00722838437375249,0.023968889527876375,3.714480376076337e-08,0.054482025863516186
gemini-2.0-flash,6.581677691893044e-07,0.3787165138791052,0.32559665577988506,0.026536490613291795,0.012429975888446297,1.0,0.2164960006775305,0.017609749086319897,0.004486917047220556,0.8771957261349184,0.7101632130772322,0.00027750917000681283,0.3336824658608334
gemini-2.5-flash,2.479434046705027e-09,0.027809190649366475,0.8213999429553145,0.20590914120022927,0.09764590346576857,0.2164960006775305,1.0,0.13739033081286456,0.030345499040719495,0.15581091107518852,0.37753588602320803,1.60408586300226e-06,0.7558797831294519
gemini-3-flash-preview,1.1348065774764173e-10,0.0011069500672981846,0.11619980912164339,0.7874375176726727,0.9322771023093588,0.017609749086319897,0.13739033081286456,1.0,0.5267288135682092,0.010577231092837095,0.03418467745208447,4.789797942323715e-08,0.0800262878622357
gemini-3-pro-preview,6.792055590904133e-11,0.0002255094654438869,0.031040094379544525,0.34382562574880293,0.5464774050483711,0.004486917047220556,0.030345499040719495,0.5267288135682092,1.0,0.002489500648078934,0.008254511167151164,1.593326541536961e-08,0.016243921994098933
gpt-4o,9.535171788331428e-07,0.46359576119633583,0.24782419873342987,0.016222270802346242,0.00722838437375249,0.8771957261349184,0.15581091107518852,0.010577231092837095,0.002489500648078934,1.0,0.5926909666980996,0.00040491621224995785,0.2514562959308894
gpt-5-mini,1.0255881055342148e-07,0.19973191741893204,0.5284984044204898,0.051654469896527826,0.023968889527876375,0.7101632130772322,0.37753588602320803,0.03418467745208447,0.008254511167151164,0.5926909666980996,1.0,5.761193129876415e-05,0.5491596511078165
gpt-5-nano,0.06628599403525465,0.003207626145925908,5.586438918921053e-06,7.660254352966334e-08,3.714480376076337e-08,0.00027750917000681283,1.60408586300226e-06,4.789797942323715e-08,1.593326541536961e-08,0.00040491621224995785,5.761193129876415e-05,1.0,4.092580604178686e-06
gpt-5.2,5.958805415660577e-09,0.0534598232803962,0.9480657586149166,0.12266794245390561,0.054482025863516186,0.3336824658608334,0.7558797831294519,0.0800262878622357,0.016243921994098933,0.2514562959308894,0.5491596511078165,4.092580604178686e-06,1.0
